O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,Career
5.45,8.67,3.45,5.34,4.23,9.23,4.56,6.78,7.89,6.12,Accountant
8.78,5.67,4.56,6.45,4.23,5.12,8.45,7.89,6.34,6.01,Graphic Designer
6.12,6.78,9.34,7.56,5.01,6.23,4.23,6.45,6.67,8.45,Salesperson
9.12,8.78,4.23,5.67,4.56,7.89,5.34,6.45,9.34,7.67,Research Scientist
6.45,7.56,5.67,9.12,4.23,5.34,4.01,6.23,5.78,8.67,Teacher
8.45,7.01,5.34,5.45,4.56,6.45,9.12,7.67,8.89,4.23,Architect
4.01,8.23,6.67,9.34,5.12,4.56,4.45,7.45,5.78,7.78,Nurse
8.78,7.89,5.67,6.01,4.67,8.45,4.23,5.34,9.23,6.45,Software Developer
8.78,7.45,5.34,8.45,6.01,4.56,4.01,4.23,6.67,9.23,Psychologist
6.78,6.45,8.45,7.67,4.56,3.45,3.12,9.34,3.67,4.23,Chef
6.23,7.34,8.78,7.45,5.67,5.12,4.34,4.67,6.01,7.89,Marketing Manager
7.89,9.23,5.01,7.45,6.34,4.78,4.01,4.56,5.67,8.67,Doctor
9.34,3.56,7.23,6.78,5.45,2.89,2.34,9.12,5.23,4.01,Artist
5.23,7.12,7.34,8.45,6.45,4.67,3.12,3.67,4.34,7.56,Human Resources Manager
4.56,6.78,5.67,3.23,2.89,8.12,8.67,4.01,7.45,3.45,Construction Engineer
8.78,7.34,5.23,6.45,6.01,4.67,3.56,4.01,4.45,9.12,Journalist
9.45,8.01,4.67,5.56,4.01,7.78,7.45,6.67,9.12,6.34,Astronomer
6.78,8.67,5.23,6.45,4.01,9.12,2.89,3.56,3.23,4.45,Financial Analyst
8.78,7.67,3.67,6.45,5.34,5.67,4.56,6.23,8.45,7.12,Biologist
6.67,6.01,8.45,8.23,4.34,3.78,3.45,6.78,4.56,7.45,Event Planner
6.12,7.01,8.67,7.89,5.34,4.23,3.67,4.01,4.45,7.45,Real Estate Agent
9.12,7.45,4.23,5.67,3.78,7.01,6.45,6.78,8.78,6.01,Environmental Scientist
8.45,7.89,5.67,7.12,6.45,5.12,3.45,4.23,4.56,9.34,Lawyer
6.34,8.12,2.89,6.78,4.78,7.45,3.23,3.56,4.23,7.01,IT Specialist
8.78,3.78,7.67,7.01,6.01,3.45,2.78,8.45,5.67,4.23,Fashion Designer
6.45,7.23,8.12,7.45,5.78,4.67,3.01,3.67,4.45,7.67,Marketing Manager
7.89,7.67,4.01,5.23,4.56,9.45,3.45,6.78,8.78,5.34,Biomedical Engineer
7.01,3.78,8.45,6.78,5.45,3.56,5.12,9.23,3.01,4.23,Photographer
6.67,8.23,5.12,6.01,4.45,9.12,3.34,3.78,4.23,7.45,Data Analyst
7.12,9.45,4.23,6.78,4.56,8.67,3.23,3.67,4.01,6.45,Pharmacist
7.56,7.01,4.67,9.23,6.34,3.45,2.89,4.45,3.12,6.67,Social Worker
5.67,8.78,6.67,6.34,4.34,9.23,3.01,3.78,3.45,4.01,Financial Planner
8.78,7.67,4.01,5.23,4.56,7.12,3.45,6.78,8.45,5.34,Biotechnologist
6.45,6.67,7.01,8.12,5.56,4.01,3.23,3.78,4.23,7.45,Human Resources Manager
6.78,8.45,5.12,6.01,4.56,7.89,3.45,3.67,4.23,7.34,Quality Control/Quality Assurance
6.45,7.67,5.34,9.23,4.45,3.78,2.89,3.01,3.56,8.12,Teacher
6.01,7.34,4.01,5.23,4.67,8.78,8.23,6.78,7.45,5.45,Industrial Engineer
8.45,7.78,5.67,7.34,6.45,5.12,3.23,3.78,4.45,8.12,Market Analyst
6.78,8.67,4.45,6.01,4.78,8.34,3.23,3.67,4.12,7.23,Auditor
9.34,4.45,8.45,6.45,7.12,3.23,3.01,6.67,6.01,5.23,Musician
5.67,8.78,7.12,6.45,6.01,4.56,3.67,4.23,5.34,8.45,Police
8.45,6.45,7.01,7.56,5.67,3.78,2.89,3.12,3.45,8.12,Copywriter
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.34,7.45,Biologist
7.78,7.34,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Speech Therapist
6.78,7.23,3.89,5.12,4.67,8.89,8.45,6.12,7.78,5.45,Mechanical Engineer
8.78,7.67,4.01,5.12,4.67,7.23,6.78,6.12,8.45,5.45,Doctor
6.67,7.34,8.45,7.89,5.45,3.78,2.89,3.12,3.45,8.12,Social Media Manager
9.12,7.45,4.01,5.23,4.67,7.01,6.45,6.78,8.78,5.45,Geologist
8.67,7.78,5.67,4.23,6.45,4.45,3.34,3.78,8.23,7.45,Web Developer
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.34,7.45,Biologist
5.12,8.89,4.34,5.45,4.78,8.45,7.23,6.78,7.67,5.67,Air Traffic Controller
9.12,7.45,5.45,5.23,4.67,7.01,6.45,6.78,8.78,4.01,Game Developer
6.78,7.34,3.67,5.23,4.67,7.89,8.45,6.12,4.34,5.45,Urban Planner
6.67,7.78,3.45,6.01,5.45,8.67,3.12,3.78,4.45,7.45,Financial Advisor
4.34,8.89,4.78,6.45,5.45,7.67,8.45,6.78,5.12,7.23,Pilot
8.67,8.12,4.01,5.23,4.67,7.45,7.23,6.12,6.78,5.45,Environmental Engineer
8.45,4.23,7.67,7.23,6.45,3.78,3.45,8.12,5.67,4.45,Architect
7.78,7.34,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Therapist
6.78,7.67,3.78,4.89,4.34,8.56,9.23,6.01,8.12,5.45,Mechanical Designer
7.23,8.34,5.45,9.12,6.01,4.67,3.23,3.67,4.34,7.01,Doctor
6.67,8.45,3.45,6.12,5.23,7.78,3.12,3.78,4.45,7.45,Market Analyst
7.23,7.67,4.23,5.45,4.89,9.23,8.67,6.45,8.12,5.67,Aerospace Engineer
6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,Nurse
7.67,6.12,8.78,7.45,6.45,3.45,2.89,3.12,3.67,8.23,Advertising Manager
8.89,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.45,7.45,Wildlife Conservationist
6.78,8.45,7.34,5.45,6.01,4.67,3.45,3.78,4.23,7.78,Project Manager
7.45,7.12,4.67,8.67,6.34,3.45,2.89,4.45,3.12,6.78,Forestry Technician
8.78,4.23,7.67,7.45,6.45,3.78,3.45,8.34,5.67,4.45,Quality Control/Quality Assurance
7.01,7.78,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Comunication Specialst
8.67,8.12,4.01,5.23,4.67,7.45,7.23,6.12,6.78,5.45,Environmental Scientist
9.23,7.67,4.23,5.12,4.67,7.23,3.67,6.78,8.78,5.45,Biomedical Researcher
6.67,8.45,3.45,6.12,5.45,7.78,3.12,3.78,4.45,7.45,Database Specialist
6.67,7.34,8.67,7.89,5.45,3.78,2.89,3.12,3.45,8.12,Comunication Specialst
7.78,7.34,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Doctor
8.67,7.67,6.01,7.45,6.45,4.45,2.89,3.12,4.67,8.23,Market Analyst
7.01,7.78,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Therapist
7.23,7.67,4.23,5.45,4.89,9.34,8.67,6.45,8.12,5.67,Electrical Engineer
7.23,8.23,8.67,6.45,6.01,7.67,4.23,4.56,5.12,5.45,Investment Banker
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.45,7.45,Biologist
7.45,7.78,6.01,8.67,6.45,5.12,4.23,4.56,5.34,8.23,Lawyer
6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,Database Specialist
6.01,8.45,5.23,9.34,6.45,4.67,3.23,3.67,4.34,7.78,Doctor
7.67,8.78,5.45,7.45,6.01,4.45,3.45,3.78,4.23,8.45,Writer
8.67,7.78,4.45,5.12,6.01,5.34,4.01,6.45,8.23,7.45,Psychologist
8.78,8.34,7.45,6.45,5.45,4.45,2.89,3.12,4.67,7.67,Product Manager
8.78,4.23,7.67,7.45,6.45,3.78,3.45,8.34,5.67,4.45,Fashion Stylist
6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,Speech Therapist
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.45,8.34,7.45,Public Health Analyst
6.78,7.67,8.45,8.23,6.45,3.78,2.89,3.12,3.45,5.45,Sports Coach
6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,Insurance Underwriter
6.01,7.67,5.23,9.12,6.45,4.67,3.23,3.67,4.34,8.34,Therapist
5.23,7.67,4.67,8.56,8.12,4.23,3.12,3.45,3.78,6.45,Radiologic Technologist
7.67,9.23,4.23,7.34,6.45,8.67,3.78,4.45,5.67,8.12,Accountant
6.01,8.45,3.78,4.01,4.67,7.67,8.23,6.78,7.45,4.23,Quality Control/Quality Assurance
6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,Rehabilitation Counselor
8.67,4.23,7.67,7.45,6.45,3.78,3.45,8.23,5.67,4.45,Film Director
7.67,8.23,6.01,9.12,5.45,4.45,2.89,3.12,4.67,8.34,Diplomat
2.67,8.78,7.67,8.45,6.45,4.45,2.89,3.12,4.67,5.45,Police
7.45,8.67,5.23,7.67,6.01,4.67,3.23,3.67,4.34,8.23,Administrative Officer
6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,Accountant
7.67,8.23,6.01,9.12,5.45,4.45,2.89,3.12,4.67,8.34,Diplomat
2.67,8.78,7.67,8.45,6.45,4.45,2.89,3.12,4.67,5.45,Customs and Border Protection Officer
6.78,8.67,4.23,5.23,4.67,8.23,7.67,6.01,7.45,5.45,Civil Engineer
7.34,7.67,4.23,5.23,4.67,9.34,8.45,6.78,8.12,5.67,Robotics Engineer
7.34,7.67,4.23,5.45,4.89,9.12,8.67,6.45,8.23,5.67,Electrical Engineer
